"itemId","itemName","creatureId","category"
"1179007","Blood Soaked Vellum: Monkey Skeleton Captain","79069","Blood Soaked Vellum"
"1179008","Blood Soaked Vellum: Monkey Skeleton Captain (Blue)","79070","Blood Soaked Vellum"
"1179009","Blood Soaked Vellum: Monkey Skeleton Captain (Red)","79071","Blood Soaked Vellum"
"1179010","Blood Soaked Vellum: Monkey Skeleton Captain (Black)","79072","Blood Soaked Vellum"
"1179011","Blood Soaked Vellum: Greater Banshee (Blue)","79073","Blood Soaked Vellum"
"1179012","Blood Soaked Vellum: Greater Banshee (Purple)","79074","Blood Soaked Vellum"
"1179013","Blood Soaked Vellum: Greater Banshee (Red)","79075","Blood Soaked Vellum"
"1179014","Blood Soaked Vellum: Greater Banshee (Yellow)","79076","Blood Soaked Vellum"
"1179015","Blood Soaked Vellum: Hopping Ghost (Blue)","79077","Blood Soaked Vellum"
"1179016","Blood Soaked Vellum: Hopping Ghost (Green)","79078","Blood Soaked Vellum"
"1179017","Blood Soaked Vellum: Hopping Ghost (Purple)","79079","Blood Soaked Vellum"
"1179018","Blood Soaked Vellum: Hopping Ghost (White)","79080","Blood Soaked Vellum"
"1179019","Blood Soaked Vellum: Maw Shade","79081","Blood Soaked Vellum"
"1179020","Blood Soaked Vellum: The Mass of Souls","79082","Blood Soaked Vellum"
"1179027","Blood Soaked Vellum: Lich Lord","79089","Blood Soaked Vellum"
"1179028","Blood Soaked Vellum: Maldraxxian Necromancer (Black)","79090","Blood Soaked Vellum"
"1179029","Blood Soaked Vellum: Maldraxxian Necromancer (Blue)","79091","Blood Soaked Vellum"
"1179030","Blood Soaked Vellum: Maldraxxian Necromancer (Green)","79092","Blood Soaked Vellum"
"1179031","Blood Soaked Vellum: Maldraxxian Necromancer (Purple)","79093","Blood Soaked Vellum"
"1179036","Blood Soaked Vellum: Maldraxxus Skeleton (Black/Black (Armored))","79098","Blood Soaked Vellum"
"1179037","Blood Soaked Vellum: Maldraxxus Skeleton (Black/Blue (Armored))","79099","Blood Soaked Vellum"
"1179038","Blood Soaked Vellum: Maldraxxus Skeleton (Black/Grey (Armored))","79100","Blood Soaked Vellum"
"1179039","Blood Soaked Vellum: Maldraxxus Skeleton (Brown/Black (Armored))","79101","Blood Soaked Vellum"
"1179040","Blood Soaked Vellum: Maldraxxus Skeleton (Brown/Bronze (Armored))","79102","Blood Soaked Vellum"
"1179041","Blood Soaked Vellum: Maldraxxus Skeleton (Brown/Grey (Armored))","79103","Blood Soaked Vellum"
"1179042","Blood Soaked Vellum: Maldraxxus Skeleton (Grey/Black (Armored))","79104","Blood Soaked Vellum"
"1179043","Blood Soaked Vellum: Maldraxxus Skeleton (Grey/Blue (Armored))","79105","Blood Soaked Vellum"
"1179044","Blood Soaked Vellum: Maldraxxus Skeleton (Grey/Bronze (Armored))","79106","Blood Soaked Vellum"
"1179045","Blood Soaked Vellum: Maldraxxus Skeleton (Grey/Copper (Armored))","79107","Blood Soaked Vellum"
"1179046","Blood Soaked Vellum: Maldraxxus Skeleton (Grey/Green (Armored))","79108","Blood Soaked Vellum"
"1179047","Blood Soaked Vellum: Maldraxxus Skeleton (Grey/Grey (Armored))","79109","Blood Soaked Vellum"
"1179048","Blood Soaked Vellum: Maldraxxus Skeleton (Pale/Black (Armored))","79110","Blood Soaked Vellum"
"1179049","Blood Soaked Vellum: Maldraxxus Skeleton (Pale/Blue (Armored))","79111","Blood Soaked Vellum"
"1179050","Blood Soaked Vellum: Maldraxxus Skeleton (Pale/Bronze (Armored))","79112","Blood Soaked Vellum"
"1179051","Blood Soaked Vellum: Maldraxxus Skeleton (Pale/Grey (Armored))","79113","Blood Soaked Vellum"
"1179052","Blood Soaked Vellum: Maldraxxus Skeleton (Purple/Black (Armored))","79114","Blood Soaked Vellum"
"1179053","Blood Soaked Vellum: Maldraxxus Skeleton (Purple/Copper (Armored))","79115","Blood Soaked Vellum"
"1179054","Blood Soaked Vellum: Maldraxxus Skeleton (Purple/Green (Armored))","79116","Blood Soaked Vellum"
"1179055","Blood Soaked Vellum: Maldraxxus Skeleton (Purple/Grey (Armored))","79117","Blood Soaked Vellum"
"1179057","Blood Soaked Vellum: Maldraxxus Skeleton (Yellow/Black (Armored))","79119","Blood Soaked Vellum"
"1179058","Blood Soaked Vellum: Maldraxxus Skeleton (Yellow/Blue (Armored))","79120","Blood Soaked Vellum"
"1179059","Blood Soaked Vellum: Maldraxxus Skeleton (Yellow/Bronze (Armored))","79121","Blood Soaked Vellum"
"1179060","Blood Soaked Vellum: Maldraxxus Skeleton (Yellow/Copper (Armored))","79122","Blood Soaked Vellum"
"1179061","Blood Soaked Vellum: Maldraxxus Skeleton (Yellow/Green (Armored))","79123","Blood Soaked Vellum"
"1179062","Blood Soaked Vellum: Maldraxxus Skeleton (Yellow/Grey (Armored))","79124","Blood Soaked Vellum"
"1179063","Blood Soaked Vellum: Maldraxxus Gladiator (Black/Black)","79125","Blood Soaked Vellum"
"1179064","Blood Soaked Vellum: Maldraxxus Gladiator (Black/Bronze)","79126","Blood Soaked Vellum"
"1179065","Blood Soaked Vellum: Maldraxxus Gladiator (Blue/Blue)","79127","Blood Soaked Vellum"
"1179066","Blood Soaked Vellum: Maldraxxus Gladiator (Bronze/Bronze)","79128","Blood Soaked Vellum"
"1179067","Blood Soaked Vellum: Maldraxxus Gladiator (Brown/Bronze)","79129","Blood Soaked Vellum"
"1179068","Blood Soaked Vellum: Maldraxxus Gladiator (Brown/Brown)","79130","Blood Soaked Vellum"
"1179069","Blood Soaked Vellum: Maldraxxus Gladiator (Green/Bronze)","79131","Blood Soaked Vellum"
"1179070","Blood Soaked Vellum: Maldraxxus Gladiator (Green/Green)","79132","Blood Soaked Vellum"
"1179071","Blood Soaked Vellum: Maldraxxus Gladiator (Purple/Purple)","79133","Blood Soaked Vellum"
"1179072","Blood Soaked Vellum: Aranakk (Black)","79134","Blood Soaked Vellum"
"1179073","Blood Soaked Vellum: Aranakk (Brown)","79135","Blood Soaked Vellum"
"1179074","Blood Soaked Vellum: Aranakk (Green)","79136","Blood Soaked Vellum"
"1179075","Blood Soaked Vellum: Aranakk (Red)","79137","Blood Soaked Vellum"
"1179077","Blood Soaked Vellum: Drustvar Beastman (Blue)","79139","Blood Soaked Vellum"
"1179078","Blood Soaked Vellum: Drustvar Beastman (Grey)","79140","Blood Soaked Vellum"
"1179079","Blood Soaked Vellum: Drustvar Beastman (Red)","79141","Blood Soaked Vellum"
"1179080","Blood Soaked Vellum: Drustvar Beastman (Yellow)","79142","Blood Soaked Vellum"
"1180137","Draconic Warhorn: Red Wyrmkin","1046","Draconic Warhorn"
"1180139","Draconic Warhorn: Red Wyrmkin","148012","Draconic Warhorn"
"1180144","Draconic Warhorn: Wyrmkin Firebrand","1049","Draconic Warhorn"
"1180145","Draconic Warhorn: Wyrmkin Firebrand","148015","Draconic Warhorn"
"1180168","Draconic Warhorn: Narillasanz","2538","Draconic Warhorn"
"1180169","Draconic Warhorn: Narillasanz","2538","Draconic Warhorn"
"1180226","Draconic Warhorn: Shade of Eranikus","5709","Draconic Warhorn"
"1180229","Draconic Warhorn: Morphaz","5719","Draconic Warhorn"
"1180231","Draconic Warhorn: Dreamscythe","215721","Draconic Warhorn"
"1180232","Draconic Warhorn: Hazzas","5722","Draconic Warhorn"
"1180234","Draconic Warhorn: Azuregos","6109","Draconic Warhorn"
"1180292","Draconic Warhorn: Overlord Wyrmthalak","9568","Draconic Warhorn"
"1180299","Draconic Warhorn: Onyxia","10184","Draconic Warhorn"
"1180305","Draconic Warhorn: Solakar Flamewreath","10264","Draconic Warhorn"
"1180307","Draconic Warhorn: Emberstrife","10321","Draconic Warhorn"
"1180308","Draconic Warhorn: Gyth","10339","Draconic Warhorn"
"1180309","Draconic Warhorn: General Drakkisath","10363","Draconic Warhorn"
"1180344","Draconic Warhorn: Firemaw","11983","Draconic Warhorn"
"1180345","Draconic Warhorn: Broodlord Lashlayer","12017","Draconic Warhorn"
"1180352","Draconic Warhorn: Razorgore the Untamed","12435","Draconic Warhorn"
"1180389","Draconic Warhorn: Vaelastrasz the Corrupt","13020","Draconic Warhorn"
"1180392","Draconic Warhorn: Chromaggus","14020","Draconic Warhorn"
"1180434","Draconic Warhorn: Lord Valthalak","16042","Draconic Warhorn"
"1180476","Draconic Warhorn: Twilight Drakonaar","20910","Draconic Warhorn"
"1180477","Draconic Warhorn: Blackwing Drakonaar","20911","Draconic Warhorn"
"1180595","Draconic Warhorn: Plagued Proto-Dragon","23680","Draconic Warhorn"
"1180597","Draconic Warhorn: Proto-Whelp","23688","Draconic Warhorn"
"1180598","Draconic Warhorn: Proto-Drake","23689","Draconic Warhorn"
"1180599","Draconic Warhorn: Smolderwing","23789","Draconic Warhorn"
"1180603","Draconic Warhorn: Enslaved Proto-Drake","24083","Draconic Warhorn"
"1180659","Draconic Warhorn: Keristrasza","26723","Draconic Warhorn"
"1180690","Draconic Warhorn: Varos Cloudstrider","27447","Draconic Warhorn"
"1180700","Draconic Warhorn: Drakos the Interrogator","27654","Draconic Warhorn"
"1180701","Draconic Warhorn: Ley-Guardian Eregos","27656","Draconic Warhorn"
"1180727","Draconic Warhorn: Primordial Drake","28378","Draconic Warhorn"
"1180729","Draconic Warhorn: Broodmother Slivina","28467","Draconic Warhorn"
"1180732","Draconic Warhorn: Sartharion","28860","Draconic Warhorn"
"1180741","Draconic Warhorn: Stormpeak Wyrm","29753","Draconic Warhorn"
"1180743","Draconic Warhorn: Stormpeak Hatchling","29755","Draconic Warhorn"
"1180767","Draconic Warhorn: Vesperon","30449","Draconic Warhorn"
"1180768","Draconic Warhorn: Shadron","30451","Draconic Warhorn"
"1180769","Draconic Warhorn: Tenebron","30452","Draconic Warhorn"
"1180852","Draconic Warhorn: Time-Lost Proto Drake","32491","Draconic Warhorn"
"1180853","Draconic Warhorn: Time-Lost Proto Drake","148137","Draconic Warhorn"
"1180858","Draconic Warhorn: Razorscale","33186","Draconic Warhorn"
"1180884","Draconic Warhorn: Karsh Steelbender","39698","Draconic Warhorn"
"1519393","Beastmaster's Whistle: Arktos","440555","Beastmaster's Whistle"
"8200187","Beastmaster's Whistle: Jungle King","11000199","Beastmaster's Whistle"
