"DbItemId","Name","Description"
"1180198","Draconic Warhorn: Firemane Scout","Has a chance to drop from Firemane Scout within The Den of Flame"
"1180225","Draconic Warhorn: Dreamwatcher Forktongue","Has a chance to drop from Dreamwatcher Forktongue within Itharius's Cave"
"1180259","Draconic Warhorn: Scalding Broodling","Has a chance to drop from Scalding Broodling within Ruins of Thaurissan"
"1180260","Draconic Warhorn: Scalding Broodling","Has a chance to drop from Scalding Broodling within Ruins of Thaurissan"
"1180274","Draconic Warhorn: Chronalis","Has a chance to drop from Chronalis within Caverns of Time"
"1180276","Draconic Warhorn: Tick","Has a chance to drop from Tick within Caverns of Time"
"254055","Summoner's Stone: Lady Vaalethri","Has a chance to drop from Lady Vaalethri within Firewing Point"
"79930","Beastmaster's Whistle: King Mosh","Has a chance to drop from King Mosh within Un'Goro Crater"
"1180386","Draconic Warhorn: Axtroz","Has a chance to drop from Axtroz within Dragonmaw Gates"
"1180449","Draconic Warhorn: Epoch Hunter","Has a chance to drop from Epoch Hunter within Caverns of Time"
"1180452","Draconic Warhorn: Infinite Saboteur","Has a chance to drop from Infinite Saboteur within Caverns of Time"
"1180540","Draconic Warhorn: Shadowsworn Drakonid","Has a chance to drop from Shadowsworn Drakonid within Ata'mal Terrace"
"1180541","Draconic Warhorn: Shadowsworn Drakonid","Has a chance to drop from Shadowsworn Drakonid within Ata'mal Terrace"
"1180603","Draconic Warhorn: Enslaved Proto-Drake","Has a chance to drop from Enslaved Proto-Drake within Utgarde Keep"
"1180642","Draconic Warhorn: Beryl Mage Hunter","Has a chance to drop from Beryl Mage Hunter within Beryl Point"
"1180852","Draconic Warhorn: Time-Lost Proto Drake","Has a chance to drop from Time-Lost Proto Drake within Terrace of the Makers"
"1180853","Draconic Warhorn: Time-Lost Proto Drake","Has a chance to drop from Time-Lost Proto Drake within Terrace of the Makers"
"1180856","Draconic Warhorn: Vyragosa","Has a chance to drop from Vyragosa within Terrace of the Makers"
"1180857","Draconic Warhorn: Vyragosa","Has a chance to drop from Vyragosa within Terrace of the Makers"
"83035","Summoner's Stone: Cyber-Rage Forgelord","Has a chance to drop from Cyber-Rage Forgelord within Forge Base: Gehenna"
"1180884","Draconic Warhorn: Karsh Steelbender","Has a chance to drop from Karsh Steelbender within Blackrock Caverns"
"1180894","Draconic Warhorn: Evolved Twilight Zealot","Has a chance to drop from Evolved Twilight Zealot within Blackrock Caverns"
"1180914","Draconic Warhorn: Shadowsworn Drakonid Champion","Has a chance to drop from Shadowsworn Drakonid Champion within Ata'mal Terrace"
"1180915","Draconic Warhorn: Shadowsworn Drakonid Champion","Has a chance to drop from Shadowsworn Drakonid Champion within Ata'mal Terrace"
"139454","Summoner's Stone: Illidari Lord Balthas","Has a chance to drop from Illidari Lord Balthas within Dragonmaw Base Camp"
"83067","Summoner's Stone: Mo'arg Forgefiend","Has a chance to drop from Mo'arg Forgefiend within Forge Camp: Mageddon"
"83068","Summoner's Stone: Gan'arg Servant","Has a chance to drop from Gan'arg Servant within Forge Camp: Mageddon"
"89220","Blood Soaked Vellum: Tunneling Ghoul","Has a chance to drop from Tunneling Ghoul within Utgarde Keep"
"1181572","Draconic Warhorn: Green Whelp","Has a chance to drop from Profession Master within "
"1181573","Draconic Warhorn: Bronze Whelp","Has a chance to drop from Bronze Whelp within Caverns of Time"
"1181574","Draconic Warhorn: Bronze Whelp","Has a chance to drop from Profession Master within "
"84103","Summoner's Stone: Arzeth the Merciless","Has a chance to drop from Arzeth the Merciless within Ruins of Sha'naar"
"83093","Summoner's Stone: Illidari Taskmaster","Has a chance to drop from Illidari Taskmaster within Ruins of Sha'naar"
"81057","Beastmaster's Whistle: Ice Heart Jormungar Spawn","Has a chance to drop from Ice Heart Jormungar Spawn within Ice Heart Cavern"
"139581","Summoner's Stone: Apolyon (Hand of the Deceiver)","Has a chance to drop from Kil'jaeden within Sunwell Plateau."
"85156","Summoner's Stone: Illidari Overseer","Has a chance to drop from Illidari Overseer within Ruins of Baa'ri"
"85157","Summoner's Stone: Zandras","Has a chance to drop from Zandras within Warden's Cage"
"80045","Beastmaster's Whistle: Rekk'tilac","Has a chance to drop from Rekk'tilac within Tanner Camp"
"80055","Beastmaster's Whistle: Timberweb Recluse","Has a chance to drop from Timberweb Recluse within Ruins of Eldarath"
"83132","Summoner's Stone: Xirkos, Overseer of Fear","Has a chance to drop from Xirkos, Overseer of Fear within Forge Camp: Fear"
"83133","Summoner's Stone: Mo'arg Master Planner","Has a chance to drop from Mo'arg Master Planner within Forge Camp: Hate"
"89281","Blood Soaked Vellum: Gjalerbron Gargoyle","Has a chance to drop from Gjalerbron Gargoyle within Steel Gate"
"85197","Summoner's Stone: Lothros","Has a chance to drop from Lothros within Illidari Point"
"85207","Summoner's Stone: Fear Fiend","Has a chance to drop from Fear Fiend within Forge Camp: Terror"
"81117","Beastmaster's Whistle: Rattlebore","Has a chance to drop from Rattlebore within Ice Heart Cavern"
"88310","Blood Soaked Vellum: Anub'shiah","Has a chance to drop from Anub'shiah within the Blackrock Depths"
"85243","Summoner's Stone: Mo'arg Extractor","Has a chance to drop from Mo'arg Extractor within Forge Camp: Terror"
"139796","Summoner's Stone: Agamath (Hand of the Deceiver)","Has a chance to drop from Kil'jaeden within Sunwell Plateau."
"139797","Summoner's Stone: Archonisus (Hand of the Deceiver)","Has a chance to drop from Kil'jaeden within Sunwell Plateau."
"80163","Beastmaster's Whistle: Gorefang","Has a chance to drop from Gorefang within Malden's Orchard"
"84268","Summoner's Stone: Mo'arg Weaponsmith","Has a chance to drop from Singe within Stonewatch Keep"
"80175","Beastmaster's Whistle: Araga","Has a chance to drop from Araga within Dalaran Crater"
"83251","Summoner's Stone: Wrathbringer","Has a chance to drop from Wrathbringer within Invasion Point: Overlord"
"83252","Summoner's Stone: Wrath Priestess","Has a chance to drop from Wrath Priestess within Forge Base: Gehenna"
"84296","Summoner's Stone: Illidari Dreadbringer","Has a chance to drop from Illidari Dreadbringer within Illidari Point"
"81226","Beastmaster's Whistle: Drakkari Bat","Has a chance to drop from Drakkari Bat within Drak'Tharon Keep"
"84299","Summoner's Stone: Felblade Doomguard","Has a chance to drop from Gnarlpine Pathfinder within Gnarlpine Hold"
"84300","Summoner's Stone: Doomforge Attendant","Has a chance to drop from Boahn within Wailing Caverns"
"84309","Summoner's Stone: Crystalcore Mechanic","Has a chance to drop from Crystalcore Mechanic within Tempest Keep"
"84310","Summoner's Stone: Culuthas","Has a chance to drop from Culuthas within Ruins of Farahlon"
"84312","Summoner's Stone: Pentatharon","Has a chance to drop from Pentatharon within Arklon Ruins"
"84315","Summoner's Stone: Eye of Culuthas","Has a chance to drop from Eye of Culuthas within Ruins of Farahlon"
"84316","Summoner's Stone: Warp-Gate Engineer","Has a chance to drop from Warp-Gate Engineer within Invasion Point: Destroyer"
"84317","Summoner's Stone: Veneratus the Many","Has a chance to drop from Wyrmkin Firebrand within Dragonmaw Gates"
"600894","Elemental Lodestone: Tainted Elemental","Has a chance to drop from Tainted Elemental within Serpentshrine Cavern"
"80243","Beastmaster's Whistle: Creepthess","Has a chance to drop from Creepthess within Azurelode Mine"
"600899","Elemental Lodestone: Crashing Wave-Spirit","Has a chance to drop from Crashing Wave-Spirit within Elemental Plateau"
"80244","Beastmaster's Whistle: Big Samras","Has a chance to drop from Big Samras within Durnholde Keep"
"600921","Elemental Lodestone: Vexallus","Has a chance to drop from Vexallus within Magisters' Terrace."
"82296","Beastmaster's Whistle: Gondria","Has a chance to drop from Gondria within Mam'toth Crater"
"84350","Summoner's Stone: Prophetess Cavrylin","Has a chance to drop from Prophetess Cavrylin within Legion Hold"
"601016","Summoner's Stone: Sister Subversia","Felforged Heroes can purchase this item from High Inquisitor Qormaladon "
"601032","Elemental Lodestone: Rotting Behemoth","Has a chance to drop from Rotting Behemoth within The Weeping Cave"
"601033","Elemental Lodestone: Decaying Horror","Has a chance to drop from Decaying Horror within The Weeping Cave"
"601034","Elemental Lodestone: The Husk","Has a chance to drop from The Husk within The Weeping Cave"
"601049","Elemental Lodestone: Shadethicket Wood Shaper","Has a chance to drop from Shadethicket Wood Shaper within The Ruins of Stardust"
"601051","Elemental Lodestone: Shadethicket Raincaller","Has a chance to drop from Shadethicket Raincaller within The Ruins of Stardust"
"601062","Elemental Lodestone: Verdan the Everliving","Has a chance to drop from Verdan the Everliving within Wailing Caverns"
"601069","Elemental Lodestone: Warpwood Shredder","Has a chance to drop from Warpwood Shredder within Irontree Cavern"
"601070","Elemental Lodestone: Dessecus","Has a chance to drop from Dessecus within Irontree Cavern"
"601085","Elemental Lodestone: Marsh Lurker","Has a chance to drop from Marsh Lurker within Funggor Cavern"
"601086","Elemental Lodestone: Marsh Dredger","Has a chance to drop from Marsh Dredger within Funggor Cavern"
"601087","Elemental Lodestone: Lord Klaq","Has a chance to drop from Lord Klaq within Funggor Cavern"
"601091","Elemental Lodestone: Serpentshrine Lurker","Has a chance to drop from Serpentshrine Lurker within Serpentshrine Cavern"
"601103","Elemental Lodestone: Deviate Lasher","Has a chance to drop from Deviate Lasher within Wailing Caverns"
"86423","Blood Soaked Vellum: Skeletal Executioner","Has a chance to drop from Skeletal Executioner within Ruins of Andorhal"
"601196","Elemental Lodestone: Bloodpetal Thresher","Has a chance to drop from Bloodpetal Thresher within Un'Goro Crater"
"86424","Blood Soaked Vellum: Skeletal Warlord","Has a chance to drop from Skeletal Warlord within Ruins of Andorhal"
"79262","Beastmaster's Whistle: Felflame Talbuk","Felforged Heroes can purchase this item from High Inquisitor Qormaladon "
"79263","Beastmaster's Whistle: Skreeg","Felforged Heroes can purchase this item from Azzazel for Legion Crests"
"81323","Beastmaster's Whistle: Ursus Mauler","Has a chance to drop from Ursus Mauler within Ursoc's Den"
"84398","Summoner's Stone: Armbreaker Huffaz","Has a chance to drop from Sunblade Warlock within Magisters' Terrace"
"82354","Summoner's Stone: Delmanis the Hated","Has a chance to drop from Delmanis the Hated within Tower of Althalaxx"
"86475","Blood Soaked Vellum: Soulless Ghoul","Obtained from the Argent Quartermaster"
"601678","Elemental Lodestone: War Reaver","Has a chance to drop from War Reaver within Ruins of Thaurissan"
"601682","Elemental Lodestone: Warbringer Construct","Has a chance to drop from Warbringer Construct with Blackrock Depths"
"601683","Elemental Lodestone: Ragereaver Golem","Has a chance to drop from Ragereaver Golem within Blackrock Depths"
"601684","Elemental Lodestone: Molten War Golem","Has a chance to drop from Molten War Golem within Blackrock Depths"
"601687","Elemental Lodestone: Ironhand Guardian","Has a chance to drop from Magmus within Blackrock Depths"
"601688","Elemental Lodestone: Phalanx","Has a chance to drop from Phalanx within Blackrock Depths"
"81383","Beastmaster's Whistle: Onslaught Bloodhound","Has a chance to drop from Onslaught Bloodhound within Onslaught Base Camp"
"1777000","Elemental Lodestone: Storming Wind-Ripper","Has a chance to drop from Storming Wind-Ripper within Elemental Plateau"
"1777001","Elemental Lodestone: Rumbling Earth-Heart","Has a chance to drop from Rumbling Earth-Heart within Elemental Plateau"
"1777002","Elemental Lodestone: Raging Fire-Soul","Has a chance to drop from Raging Fire-Soul within Elemental Plateau"
"1777003","Elemental Lodestone: Unbound Water Spirit","Has a chance to drop from Unbound Water Spirit within Elemental Plateau"
"1777004","Elemental Lodestone: Unbound Wind Spirit","Has a chance to drop from Unbound Wind Spirit within Elemental Plateau"
"79336","Beastmaster's Whistle: Mine Spider","Has a chance to drop from Mine Spider within Jasperlode Mine"
"601836","Elemental Lodestone: Treant","Has a chance to drop from Treant within Kalimdor/Eastern Kingdom"
"601843","Elemental Lodestone: Treant Ally","Has a chance to drop from Treant within Kalimdor/Eastern Kingdom"
"81395","Beastmaster's Whistle: Goremaw","Has a chance to drop from Goremaw within Shadowfang Tower"
"79349","Beastmaster's Whistle: Goretusk","Has a chance to drop from Goretusk within Alexston Farmstead"
"509906","Beastmaster's Whistle: Tamable Thunder Lizard","Reward from Hardcore/Nightmare Plains Stalker Trial"
"79361","Beastmaster's Whistle: Mother Fang","Has a chance to drop from Mother Fang within Jasperlode Mine"
"86531","Blood Soaked Vellum: Flesh Golem","Has a chance to drop from Flesh Golem within Ruins of Andorhal"
"138259","Summoner's Stone: Demos, Overseer of Hate","Has a chance to drop from Demos, Overseer of Hate within Forge Camp: Hate"
"82454","Summoner's Stone: Haldarr Satyr","Has a chance to drop from Haldarr Satyr within Haldarr Encampment"
"82458","Summoner's Stone: Legashi Satyr","Has a chance to drop from Legashi Satyr within Legash Encampment"
"81435","Beastmaster's Whistle: Scarlet Farm Hound","Has a chance to drop from Scarlet Farm Hound within Havenshire Farms"
"86555","Blood Soaked Vellum: Putridius","Has a chance to drop from Putridius within Ruins of Andorhal"
"82461","Summoner's Stone: Legashi Hellcaller","Has a chance to drop from Legashi Hellcaller within Legash Encampment"
"82466","Summoner's Stone: Master Feardred","Has a chance to drop from Master Feardred within Legash Encampment"
"79396","Beastmaster's Whistle: Coyote","Has a chance to drop from Coyote within The Molsen Farm"
"85565","Summoner's Stone: Crystalfused Miner","Has a chance to drop from Crystalfused Miner within Forge Camp: Terror"
"79444","Beastmaster's Whistle: Elder Black Bear","Has a chance to drop from Elder Black Bear within Silver Stream Mine"
"79447","Beastmaster's Whistle: Mountain Boar","Has a chance to drop from Mountain Boar within Silver Stream Mine"
"79451","Beastmaster's Whistle: Forest Lurker","Has a chance to drop from Forest Lurker within Silver Stream Mine"
"79453","Beastmaster's Whistle: Juvenile Snow Leopard","Has a chance to drop from Juvenile Snow Leopard within The Grizzled Den"
"87656","Blood Soaked Vellum: Jon-Jon the Crow","Has a chance to drop from Jon-Jon the Crow within Ruins of Jubuwal"
"84585","Summoner's Stone: Razorsaw","Has a chance to drop from Razorsaw within Forge Camp: Mageddon"
"87657","Blood Soaked Vellum: Chucky \","Has a chance to drop from Chucky Ten Thumbs within Ruins of Aboraz"
"79470","Beastmaster's Whistle: Elder Mistvale Gorilla","Has a chance to drop from Elder Mistvale Gorilla within Spirit Den"
"79484","Beastmaster's Whistle: Diseased Black Bear","Has a chance to drop from Diseased Black Bear within Ruins of Andorhal"
"79485","Beastmaster's Whistle: Diseased Grizzly","Has a chance to drop from Diseased Grizzly within The Weeping Cave"
"79487","Beastmaster's Whistle: Carrion Lurker","Has a chance to drop from Carrion Lurker within Ruins of Andorhal"
"79489","Beastmaster's Whistle: Plague Lurker","Has a chance to drop from Plague Lurker within The Weeping Cave"
"79492","Beastmaster's Whistle: Mangeclaw","Has a chance to drop from Mangeclaw within North Gate Outpost"
"79495","Beastmaster's Whistle: Webwood Spider","Has a chance to drop from Webwood Spider within Shadowthread Cave"
"79496","Beastmaster's Whistle: Githyiss the Vile","Has a chance to drop from Githyiss the Vile within Shadowthread Cave"
"84645","Summoner's Stone: Overmaster Grindgarr","Has a chance to drop from Overmaster Grindgarr within Trelleum Mine"
"79532","Beastmaster's Whistle: Giant Moss Creeper","Has a chance to drop from Giant Moss Creeper within Durnholde Keep"
"79533","Beastmaster's Whistle: Forest Moss Creeper","Has a chance to drop from Forest Moss Creeper within Southpoint Tower"
"88758","Blood Soaked Vellum: Spectral Attendant","Has a chance to drop from Spectral Attendant within Ruins of Andorhal"
"89782","Blood Soaked Vellum: Scourge Brute","Has a chance to drop from Scourge Brute within Drak'Tharon Keep"
"83643","Summoner's Stone: Warbringer Arix'Amal","Has a chance to drop from Warbringer Arix'Amal within Invasion Point: Annihilator"
"85702","Summoner's Stone: Wrath Herald","Has a chance to drop from Wrath Herald within Throne of Kil'jaeden"
"84304","Summoner's Stone: Dreadforge Servant","Has a chance to drop from Cenarion Druid within The Talon Den"
"81227","Beastmaster's Whistle: Darkweb Recluse","Has a chance to drop from Darkweb Recluse within Drak'Tharon Keep"
"85710","Summoner's Stone: Apocalypse Guard","Has a chance to drop from Apocalypse Guard within Sunwell Plateau"
"87867","Blood Soaked Vellum: Lingering Highborne","Has a chance to drop from Lingering Highborne within Ruins of Eldarath"
"84269","Summoner's Stone: Deathforge Smith","Has a chance to drop from Red Wyrmkin within Dragonmaw Gates"
"83241","Summoner's Stone: Ambassador Jerrikar","Has a chance to drop from Ambassador Jerrikar within Illidari Point"
"85713","Summoner's Stone: Chaos Gazer","Has a chance to drop from Chaos Gazer within Sunwell Plateau"
"85714","Summoner's Stone: Cataclysm Hound","Has a chance to drop from Cataclysm Hound within Sunwell Plateau"
"84756","Summoner's Stone: Overseer Ripsaw","Has a chance to drop from Overseer Ripsaw within Legion Hold"
"101134","Blood Soaked Vellum: Scourge Soulbinder","Has a chance to drop from Scourge Soulbinder within Corp'rethar: The Horror Gate"
"101079","Blood Soaked Vellum: Drakuru Berserker","Has a chance to drop from Drakuru Berserker within Rageclaw Den"
"89852","Blood Soaked Vellum: Risen Wintergarde Defender","Has a chance to drop from Risen Wintergarde Defender within Wintergarde Mine"
"79579","Beastmaster's Whistle: Adult Plainstrider","Has a chance to drop from Adult Plainstrider within The Golden Plains"
"80635","Beastmaster's Whistle: Deviate Coiler Hatchling","Has a chance to drop from Deviate Coiler Hatchling within Wailing Caverns"
"88311","Blood Soaked Vellum: Fellicent's Shade","Has a chance to drop from Fellicent's Shade within Balnir Farmstead"
"89838","Blood Soaked Vellum: Wretched Belcher","Has a chance to drop from Wretched Belcher within Drak'Tharon Keep"
"101086","Blood Soaked Vellum: Frostbringer","Has a chance to drop from Frostbringer within Befouled Terrace"
"79587","Beastmaster's Whistle: Swoop","Has a chance to drop from Swoop within The Golden Plains"
"79589","Beastmaster's Whistle: Flatland Cougar","Has a chance to drop from Flatland Cougar within The Golden Plains"
"80613","Beastmaster's Whistle: Coilskar Cobra","Has a chance to drop from Coilskar Cobra within Coilskar Point"
"85715","Summoner's Stone: Moragg","Has a chance to drop from Moragg within The Violet Hold"
"79590","Beastmaster's Whistle: Mazzranache","Has a chance to drop from Mazzranache within The Golden Plains"
"85195","Summoner's Stone: Terrorguard Protector","Has a chance to drop from Terrorguard Protector within Forge Base: Oblivion"
"101095","Blood Soaked Vellum: Lumbering Atrocity","Has a chance to drop from Lumbering Atrocity within Malykriss: The Vile Hold"
"79593","Beastmaster's Whistle: Elder Mottled Boar","Has a chance to drop from Elder Mottled Boar within Jaggedswine Farm"
"101096","Blood Soaked Vellum: Skeletal Runesmith","Has a chance to drop from Skeletal Runesmith within Malykriss: The Vile Hold"
"101099","Blood Soaked Vellum: Death Knight Initiate","Has a chance to drop from Death Knight Initiate within Malykriss: The Vile Hold"
"89773","Blood Soaked Vellum: Ghoul Tormentor","Has a chance to drop from Ghoul Tormentor within Drak'Tharon Keep"
"89840","Blood Soaked Vellum: Trollgore","Has a chance to drop from Trollgore within Drak'Tharon Keep"
"85747","Blood Soaked Vellum: Insane Ghoul","Has a chance to drop from Insane Ghoul within Tranquil Gardens Cemetery"
"80629","Beastmaster's Whistle: Bladespire Raptor","Has a chance to drop from Bladespire Raptor within Bladespire Hold"
"101108","Blood Soaked Vellum: Icy Ghoul","Has a chance to drop from Icy Ghoul within Mord'rethar: The Death Gate"
"85154","Summoner's Stone: Illidari Jailor","Has a chance to drop from Illidari Jailor within Warden's Cage"
"83098","Summoner's Stone: Gan'arg Tinkerer","Has a chance to drop from Gan'arg Tinkerer within Forge Camp: Hate"
"89850","Blood Soaked Vellum: Risen Villager","Has a chance to drop from Risen Villager within Wintergarde Keep"
"101114","Blood Soaked Vellum: Lumbering Atrocity","Has a chance to drop from Lumbering Atrocity within Malykriss: The Vile Hold"
"101116","Blood Soaked Vellum: Death Knight Initiate","Has a chance to drop from Death Knight Initiate within Malykriss: The Vile Hold"
"84755","Summoner's Stone: Illidari Shadowstalker","Has a chance to drop from Illidari Shadowstalker within Illidari Point"
"84616","Summoner's Stone: Silroth","Has a chance to drop from Silroth within Forge Base: Gehenna"
"83070","Summoner's Stone: Gan'arg Mekgineer","Has a chance to drop from Gan'arg Mekgineer within Forge Base: Oblivion"
"79693","Beastmaster's Whistle: Darkmist Spider","Has a chance to drop from Darkmist Spider within Darkmist Cavern"
"101130","Blood Soaked Vellum: Scourge War Engineer","Has a chance to drop from Scourge War Engineer within Mord'rethar: The Death Gate"
"83053","Summoner's Stone: Mo'arg Engineer","Has a chance to drop from Mo'arg Engineer within Forge Camp: Hate"
"101133","Blood Soaked Vellum: Animated Laborer","Has a chance to drop from Animated Laborer within Aldur'thar: The Desolation Gate"
"87655","Blood Soaked Vellum: Maury \","Has a chance to drop from Maury Club Foot Wilkins within Ruins of Jubuwal"
"79631","Beastmaster's Whistle: Deviate Coiler","Has a chance to drop from Deviate Coiler within Wailing Caverns"
"84761","Summoner's Stone: Makazradon","Has a chance to drop from Makazradon within Legion Hold"
"600408","Elemental Lodestone: Lord Roccor","Has a chance to drop from Lord Roccor within Blackrock Depths"
"79632","Beastmaster's Whistle: Deviate Stinglash","Has a chance to drop from Deviate Stinglash within Wailing Caverns"
"79633","Beastmaster's Whistle: Deviate Creeper","Has a chance to drop from Deviate Creeper within Wailing Caverns"
"79634","Beastmaster's Whistle: Deviate Slayer","Has a chance to drop from Deviate Slayer within Wailing Caverns"
"84754","Summoner's Stone: Terrormaster","Has a chance to drop from Terrormaster within Legion Hold"
"79635","Beastmaster's Whistle: Deviate Stalker","Has a chance to drop from Deviate Stalker within Wailing Caverns"
"79636","Beastmaster's Whistle: Deviate Ravager","Has a chance to drop from Deviate Ravager within Wailing Caverns"
"79637","Beastmaster's Whistle: Deviate Guardian","Has a chance to drop from Deviate Guardian within Wailing Caverns"
"79638","Beastmaster's Whistle: Kresh","Has a chance to drop from Kresh within Wailing Caverns"
"1180451","Draconic Warhorn: Infinite Defiler","Has a chance to drop from Infinite Defiler within Caverns of Time"
"80665","Beastmaster's Whistle: Lost Torranche","Has a chance to drop from Lost Torranche within Sorrow Wing Point"
"601061","Elemental Lodestone: Deviate Shambler","Has a chance to drop from Deviate Shambler within Wailing Caverns"
"88859","Blood Soaked Vellum: Sever","Has a chance to drop from Sever within Shadowfang Keep"
"79646","Beastmaster's Whistle: Wildthorn Lurker","Has a chance to drop from Wildthorn Lurker within Warsong Lumber Camp"
"80671","Beastmaster's Whistle: Nethermine Ravager","Has a chance to drop from Nethermine Ravager within Netherwing Mines"
"84768","Summoner's Stone: Azaloth","Has a chance to drop from Azaloth within Ruins of Karabor"
"79424","Beastmaster's Whistle: Fleshripper","Has a chance to drop from Fleshripper within Furlbrow's Pumpkin Farm"
"79258","Beastmaster's Whistle: White Felbat","Felforged Heroes can purchase this item from High Inquisitor Qormaladon "
"79650","Beastmaster's Whistle: Bleak Worg","Has a chance to drop from Bleak Worg within Shadowfang Keep"
"79651","Beastmaster's Whistle: Slavering Worg","Has a chance to drop from Slavering Worg within Shadowfang Keep"
"1180277","Draconic Warhorn: Tick","Has a chance to drop from Tick within Caverns of Time"
"79652","Beastmaster's Whistle: Vile Bat","Has a chance to drop from Vile Bat within Shadowfang Keep"
"1180110","Draconic Warhorn: Singe","Has a chance to drop from Singe within Stonewatch Keep"
"79653","Beastmaster's Whistle: Blood Seeker","Has a chance to drop from Blood Seeker within Shadowfang Keep"
"82725","Summoner's Stone: Jadefire Rogue","Has a chance to drop from Jadefire Rogue within Ruins of Constellas"
"82729","Summoner's Stone: Jadefire Shadowstalker","Has a chance to drop from Jadefire Shadowstalker within Ruins of Constellas"
"79926","Beastmaster's Whistle: Gorishi Reaver","Has a chance to drop from Gorishi Reaver within Un'Goro Crater"
"87861","Blood Soaked Vellum: Suffering Highborne","Has a chance to drop from Suffering Highborne within The Ruins of Kel'Theril"
"87863","Blood Soaked Vellum: Anguished Highborne","Has a chance to drop from Anguished Highborne within The Ruins of Kel'Theril"
"89913","Blood Soaked Vellum: Dreadbone Construct","Has a chance to drop from Dreadbone Construct within Wintergarde Keep"
"89915","Blood Soaked Vellum: Flesheating Ghoul","Has a chance to drop from Flesheating Ghoul within Drak'Tharon Keep"
"1519393","Beastmaster's Whistle: Arktos","Has a chance to drop from The Frozen Reach Manastorm "
"601859","Elemental Lodestone: Corrupted Treant","Has a chance to drop from Corrupted Treant within Middenvale"
"82459","Summoner's Stone: Legashi Rogue","Has a chance to drop from Legashi Rogue within Legash Encampment"
"89625","Blood Soaked Vellum: Moonrest Highborne","Has a chance to drop from Moonrest Highborne within Moonrest Gardens"
"82456","Summoner's Stone: Haldarr Felsworn","Has a chance to drop from Haldarr Felsworn within Haldarr Encampment"
"84760","Summoner's Stone: Morgroron","Has a chance to drop from Morgroron within Legion Hold"
"612859","Summoner's Stone: Brutallus","Has a chance to drop from Brutallus within Sunwell Plateau."
"612860","Summoner's Stone: Sacro'lythess","Has a chance to drop from Sacro'lythess within Sunwell Plateau."
"80402","Beastmaster's Whistle: Grizzled Brown Bear","Has a chance to drop from Grizzled Brown Bear within Middenvale"
"79694","Beastmaster's Whistle: Darkmist Recluse","Has a chance to drop from Darkmist Recluse within Darkmist Cavern"
"82766","Summoner's Stone: Xavathras","Has a chance to drop from Xavathras within Ruins of Constellas"
"79695","Beastmaster's Whistle: Darkmist Silkspinner","Has a chance to drop from Darkmist Silkspinner within Darkmist Cavern"
"79696","Beastmaster's Whistle: Darkmist Widow","Has a chance to drop from Darkmist Widow within Darkmist Cavern"
