ItemId,ItemName,CreatureId,Description,Category,URL,FamilyId,FamilyName,Notes,,,,
199579,Beastmaster's Whistle: Feral Armored Growler,105764,Available from Tiraxis' Ethereal Bazaar,Beastmaster's Whistle,https://db.ascension.gg/?item=199579,,,,,,,
199580,Beastmaster's Whistle: Savage Armored Growler,105765,Available from Tiraxis' Ethereal Bazaar,Beastmaster's Whistle,https://db.ascension.gg/?item=199580,,,,,,,
199581,Beastmaster's Whistle: Verdant Armored Growler,105766,Available from Tiraxis' Ethereal Bazaar,Beastmaster's Whistle,https://db.ascension.gg/?item=199581,,,,,,,
199582,Beastmaster's Whistle: Rabid Armored Growler,105767,Available from Tiraxis' Ethereal Bazaar,Beastmaster's Whistle,https://db.ascension.gg/?item=199582,,,,,,,
204016,Summoner's Stone: Subdued Mistress,45906,"Seasonal Reward. Introduced in Season 9, Chapter 3",Summoner's Stone,https://db.ascension.gg/?item=204016,,,,,,,
254054,Summoner's Stone: Sulkaia,254315,Has a chance to drop from Sulkaia within Kil'sorrow Fortress,Summoner's Stone,https://db.ascension.gg/?item=254054,,,,,,,
254055,Summoner's Stone: Lady Vaalethri,254316,Has a chance to drop from Lady Vaalethri within Firewing Point,Summoner's Stone,https://db.ascension.gg/?item=254055,,,,,,,
274194,Summoner's Stone: Aetherax,211497,"Seasonal Reward. Introduced in Season 8, Chapter 4",Summoner's Stone,https://db.ascension.gg/?item=274194,,,,,,,
281749,Summoner's Stone: Sneering Doomling,41236,Available from Tiraxis' Ethereal Bazaar,Summoner's Stone,https://db.ascension.gg/?item=281749,,,,,,,
281750,Summoner's Stone: Drifting Doomling,41237,Available from Tiraxis' Ethereal Bazaar,Summoner's Stone,https://db.ascension.gg/?item=281750,,,,,,,
281751,Summoner's Stone: Skittering Doomling,41238,Available from Tiraxis' Ethereal Bazaar,Summoner's Stone,https://db.ascension.gg/?item=281751,,,,,,,
281752,Summoner's Stone: Yapping Doomling,41239,Available from Tiraxis' Ethereal Bazaar,Summoner's Stone,https://db.ascension.gg/?item=281752,,,,,,,
281753,Summoner's Stone: Snuggling Doomling,41240,Available from Tiraxis' Ethereal Bazaar,Summoner's Stone,https://db.ascension.gg/?item=281753,,,,,,,
281754,Summoner's Stone: Whimming Doomling,41241,Available from Tiraxis' Ethereal Bazaar,Summoner's Stone,https://db.ascension.gg/?item=281754,,,,,,,
281755,Summoner's Stone: Gleaming Doomling,41242,Available from Tiraxis' Ethereal Bazaar,Summoner's Stone,https://db.ascension.gg/?item=281755,,,,,,,
281756,Summoner's Stone: Twitching Doomling,41243,Available from Tiraxis' Ethereal Bazaar,Summoner's Stone,https://db.ascension.gg/?item=281756,,,,,,,
348635,Beastmaster's Whistle: Snow Primal Dog,392241,"Seasonal Reward. Introduced in Season 9, Chapter 4",Beastmaster's Whistle,https://db.ascension.gg/?item=348635,,,,,,,
354048,Elemental Lodestone: Stone Fury,43382,Has a chance to drop from Stone Fury within Eastern Kingdoms.,Elemental Lodestone,https://db.ascension.gg/?item=354048,,,,,,,
355070,Draconic Warhorn: Hungry Whelp,916589,Has a chance to drop from Hungry Whelp in Azshara,Draconic Warhorn,https://db.ascension.gg/?item=355070,,,,,,,
355071,Draconic Warhorn: Draconic Matron,916588,Has a chance to drop from Draconic Matron in Azshara,Draconic Warhorn,https://db.ascension.gg/?item=355071,,,,,,,
442009,Elemental Lodestone: Wretched Treemouth,139995,Available from Tiraxis' Ethereal Bazaar,Elemental Lodestone,https://db.ascension.gg/?item=442009,,,,,,,
442010,Elemental Lodestone: Pallid Treemouth,139996,Available from Tiraxis' Ethereal Bazaar,Elemental Lodestone,https://db.ascension.gg/?item=442010,,,,,,,
442011,Elemental Lodestone: Sallow Treemouth,139997,Available from the Webstore.,Elemental Lodestone,https://db.ascension.gg/?item=442011,,,,,,,
442012,Elemental Lodestone: Stricken Treemouth,139998,Available from Tiraxis' Ethereal Bazaar,Elemental Lodestone,https://db.ascension.gg/?item=442012,,,,,,,
509906,Beastmaster's Whistle: Tamable Thunder Lizard,347300,Reward from Hardcore/Nightmare Plains Stalker Trial,Beastmaster's Whistle,https://db.ascension.gg/?item=509906,,,,,,,
532578,Beastmaster's Whistle: Doberman MK III,98483,Can be purchased from Millhouse Manastorm,Beastmaster's Whistle,https://db.ascension.gg/?item=532578,,,,,,,
600867,Elemental Lodestone: Al'ar,19514,,Elemental Lodestone,https://db.ascension.gg/?item=600867,,,,,,,
601818,Elemental Lodestone: Petrified Treant,11458,Has a chance to drop from Petrified Treant within Dire Maul,Elemental Lodestone,https://db.ascension.gg/?item=601818,,,,,,,
601819,Elemental Lodestone: Warpwood Guardian,11461,Has a chance to drop from Warpwood Guardian within Dire Maul,Elemental Lodestone,https://db.ascension.gg/?item=601819,,,,,,,
601820,Elemental Lodestone: Warpwood Treant,11462,Has a chance to drop from Warpwood Treant within Dire Maul,Elemental Lodestone,https://db.ascension.gg/?item=601820,,,,,,,
601821,Elemental Lodestone: Warpwood Tangler,11464,Has a chance to drop from Warpwood Tangler within Dire Maul,Elemental Lodestone,https://db.ascension.gg/?item=601821,,,,,,,
601822,Elemental Lodestone: Warpwood Stomper,11465,Has a chance to drop from Warpwood Stomper within Dire Maul,Elemental Lodestone,https://db.ascension.gg/?item=601822,,,,,,,
601823,Elemental Lodestone: Deeprot Tangler,13142,Has a chance to drop from Deeprot Tangler within Maraudon,Elemental Lodestone,https://db.ascension.gg/?item=601823,,,,,,,
601824,Elemental Lodestone: Corrupt Force of Nature,13743,Has a chance to drop from Corrupt Force of Nature within Maraudon,Elemental Lodestone,https://db.ascension.gg/?item=601824,,,,,,,
601825,Elemental Lodestone: Petrified Guardian,14303,Has a chance to drop from Petrified Guardian within Dire Maul,Elemental Lodestone,https://db.ascension.gg/?item=601825,,,,,,,
601832,Elemental Lodestone: Treant,36070,Has a chance to drop from Treant within Kalimdor/Eastern Kingdom,Elemental Lodestone,https://db.ascension.gg/?item=601832,,,,,,,
601834,Elemental Lodestone: Cursed Sycamore,83496,Has a chance to drop from Cursed Sycamore within High Wilderness,Elemental Lodestone,https://db.ascension.gg/?item=601834,,,,,,,
601835,Elemental Lodestone: Wandering Forest Walker,83616,Has a chance to drop from Wandering Forest Walker within Feralas.,Elemental Lodestone,https://db.ascension.gg/?item=601835,,,,,,,
601836,Elemental Lodestone: Treant,1964,Has a chance to drop from Treant within Kalimdor/Eastern Kingdom,Elemental Lodestone,https://db.ascension.gg/?item=601836,,,,,,,
601837,Elemental Lodestone: Crazed Ancient,3834,Has a chance to drop from Crazed Ancient within Nightsong Woods,Elemental Lodestone,https://db.ascension.gg/?item=601837,,,,,,,
601838,Elemental Lodestone: Withered Ancient,3919,Has a chance to drop from Withered Ancient within Nightsong Woods,Elemental Lodestone,https://db.ascension.gg/?item=601838,,,,,,,
601840,Elemental Lodestone: Vengeful Ancient,4030,Has a chance to drop from Vengeful Ancient within The Charred Vale,Elemental Lodestone,https://db.ascension.gg/?item=601840,,,,,,,
601843,Elemental Lodestone: Treant Ally,5806,Has a chance to drop from Treant within Kalimdor/Eastern Kingdom,Elemental Lodestone,https://db.ascension.gg/?item=601843,,,,,,,
601845,Elemental Lodestone: Irontree Wanderer,7138,Has a chance to drop from Irontree Wanderer within Irontree Woods,Elemental Lodestone,https://db.ascension.gg/?item=601845,,,,,,,
601846,Elemental Lodestone: Irontree Stomper,7139,Has a chance to drop from Irontree Stomper within Irontree Woods,Elemental Lodestone,https://db.ascension.gg/?item=601846,,,,,,,
601847,Elemental Lodestone: Decaying Treant,7143,Has a chance to drop from Decaying Treant within Felwood,Elemental Lodestone,https://db.ascension.gg/?item=601847,,,,,,,
601848,Elemental Lodestone: Withered Treant,7144,Has a chance to drop from Withered Treant within Felwood,Elemental Lodestone,https://db.ascension.gg/?item=601848,,,,,,,
601849,Elemental Lodestone: Treant Protector,7146,Has a chance to drop from Treant Protector within Kalimdor/Eastern Kingdom,Elemental Lodestone,https://db.ascension.gg/?item=601849,,,,,,,
601851,Elemental Lodestone: Treant Spirit,9601,Has a chance to drop from Treant Spirit within Felwood,Elemental Lodestone,https://db.ascension.gg/?item=601851,,,,,,,
601853,Elemental Lodestone: Tender,15271,Has a chance to drop from Tender within Sunstrider Isle,Elemental Lodestone,https://db.ascension.gg/?item=601853,,,,,,,
601854,Elemental Lodestone: Feral Tender,15294,Has a chance to drop from Feral Tender within Sunstrider Isle,Elemental Lodestone,https://db.ascension.gg/?item=601854,,,,,,,
601855,Elemental Lodestone: Old Whitebark,15409,Has a chance to drop from Old Whitebark within The Scorched Grove,Elemental Lodestone,https://db.ascension.gg/?item=601855,,,,,,,
601857,Elemental Lodestone: Eversong Green Keeper,15636,Has a chance to drop from Eversong Green Keeper within Eversong Woods.,Elemental Lodestone,https://db.ascension.gg/?item=601857,,,,,,,
601858,Elemental Lodestone: Withered Green Keeper,15637,Has a chance to drop from Withered Green Keeper within The Scorched Grove,Elemental Lodestone,https://db.ascension.gg/?item=601858,,,,,,,
601859,Elemental Lodestone: Corrupted Treant,17352,Has a chance to drop from Corrupted Treant within Middenvale,Elemental Lodestone,https://db.ascension.gg/?item=601859,,,,,,,
601862,Elemental Lodestone: Outraged Raven's Wood Sapling,21040,Has a chance to drop from Outraged Raven's Wood Sapling within Ruuan Weald,Elemental Lodestone,https://db.ascension.gg/?item=601862,,,,,,,
601866,Elemental Lodestone: Infested Root-Walker,22095,Has a chance to drop from Infested Root-Walker within The Bone Wastes,Elemental Lodestone,https://db.ascension.gg/?item=601866,,,,,,,
612860,Summoner's Stone: Sacro'lythess,449184,Has a chance to drop from Sacro'lythess within Sunwell Plateau.,Summoner's Stone,https://db.ascension.gg/?item=612860,,,,,,,
980060,Beastmaster's Whistle: Pink Elekk,338957,Can be purchased from Millhouse Manastorm,Beastmaster's Whistle,https://db.ascension.gg/?item=980060,,,,,,,
1777003,Elemental Lodestone: Unbound Water Spirit,61004,Has a chance to drop from Unbound Water Spirit within Elemental Plateau,Elemental Lodestone,https://db.ascension.gg/?item=1777003,,,,,,,
1777004,Elemental Lodestone: Unbound Wind Spirit,61002,Has a chance to drop from Unbound Wind Spirit within Elemental Plateau,Elemental Lodestone,https://db.ascension.gg/?item=1777004,,,,,,,
1777005,Elemental Lodestone: Unbound Earth Spirit,61003,Has a chance to drop from Unbound Earth Spirit within Elemental Plateau,Elemental Lodestone,https://db.ascension.gg/?item=1777005,,,,,,,
1777006,Elemental Lodestone: Unbound Fire Spirit,61001,Has a chance to drop from Unbound Fire Spirit within Elemental Plateau,Elemental Lodestone,https://db.ascension.gg/?item=1777006,,,,,,,
1777421,Elemental Lodestone: Deeprot Stomper,13141,Has a chance to drop from Deeprot Stomper within Maraudon,Elemental Lodestone,https://db.ascension.gg/?item=1777421,,,,,,,
1777422,Elemental Lodestone: Deeprot Tangler,13142,Has a chance to drop from Deeprot Tangler within Maraudon.,Elemental Lodestone,https://db.ascension.gg/?item=1777422,,,,,,,
1777423,Elemental Lodestone: Deeprot Tangler,13142,Has a chance to drop from Deeprot Tangler within Maraudon,Elemental Lodestone,https://db.ascension.gg/?item=1777423,,,,,,,
