"DbItemId","Name","Description","IsVendor"
"532579","Elemental Lodestone: Bound Water Elemental","Can be purchased from Millhouse Manastorm","True"
"101412","Beastmaster's Whistle: Hamlet","Available from the Webstore","True"
"101414","Beastmaster's Whistle: Peggi","Available from the Webstore","True"
"101415","Beastmaster's Whistle: Terrorpene","Available from the Webstore","True"
"101418","Beastmaster's Whistle: Spectral Gryphon","Available from the Webstore","True"
"101421","Beastmaster's Whistle: Green Shale Spider","Available from the Webstore","True"
"101422","Beastmaster's Whistle: Orange Shale Spider","Available from the Webstore","True"
"101423","Beastmaster's Whistle: Purple Shale Spider","Available from the Webstore","True"
"101426","Beastmaster's Whistle: Zebra Lion Seal","Available from the Webstore","True"
"541299","Beastmaster's Whistle: Core Hound","Available from Tiraxis' Ethereal Bazaar","True"
"541300","Beastmaster's Whistle: Void Borne Core Hound","Available from Tiraxis' Ethereal Bazaar","True"
"844513","Beastmaster's Whistle: Amber Shardhide","Available from the Webstore","True"
"844514","Beastmaster's Whistle: Darkmaul Shardhide","Available from Tiraxis' Ethereal Bazaar","True"
"844515","Beastmaster's Whistle: Beryl Shardhide","Available from Tiraxis' Ethereal Bazaar","True"
"844516","Beastmaster's Whistle: Cerulean Shardhide","Available from Tiraxis' Ethereal Bazaar","True"
"348634","Beastmaster's Whistle: Ginger Primal Dog","Available from Tiraxis' Ethereal Bazaar","True"
"348636","Beastmaster's Whistle: Dandelion Primal Dog","Available from Tiraxis' Ethereal Bazaar","True"
"348637","Beastmaster's Whistle: Tawny Primal Dog","Available from Tiraxis' Ethereal Bazaar","True"
"1181572","Draconic Warhorn: Green Whelp","Has a chance to drop from Profession Master within ","False"
"1181574","Draconic Warhorn: Bronze Whelp","Has a chance to drop from Profession Master within ","False"
"123162","Elemental Lodestone: Cascade","Can be purchased from Darith Trophyvane (Trial Master's Rewards Vendor)","True"
"123163","Elemental Lodestone: Borealis","Can be purchased from Darith Trophyvane (Trial Master's Rewards Vendor)","True"
"1001686","Beastmaster's Whistle: Chubby","Available from Tiraxis' Ethereal Bazaar","True"
"1001687","Beastmaster's Whistle: Mo","Available from Tiraxis' Ethereal Bazaar","True"
"600388","Elemental Lodestone: Mana Guardian","Available from the Webstore","True"
"88373","Blood Soaked Vellum: Skulking Corpse","Can be purchased from the Argent Quartermaster","True"
"88383","Blood Soaked Vellum: Reanimated Corpse","Can be purchased from the Argent Quartermaster","True"
"199336","Beastmaster's Whistle: Kerchak","Available from Tiraxis' Ethereal Bazaar","True"
"199337","Beastmaster's Whistle: Buzzbee","Available from Tiraxis' Ethereal Bazaar","True"
"199338","Beastmaster's Whistle: Babee","Available from Tiraxis' Ethereal Bazaar","True"
"199339","Beastmaster's Whistle: Barnabee","Available from Tiraxis' Ethereal Bazaar","True"
"600934","Elemental Lodestone: Glacial Guardian","Available from the Webstore","True"
"600967","Elemental Lodestone: Flame Guardian","Available from the Webstore","True"
"600968","Elemental Lodestone: Earthen Guardian","Available from the Webstore","True"
"600969","Elemental Lodestone: Tide Guardian","Available from the Webstore","True"
"600970","Elemental Lodestone: Tempest Guardian","Available from the Webstore","True"
"601016","Summoner's Stone: Sister Subversia","Felforged Heroes can purchase this item from High Inquisitor Qormaladon ","True"
"601022","Elemental Lodestone: Desert Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"601023","Elemental Lodestone: Blazing Fireguard","Available on the webstore from the Unleashed Elemental Master Warchest: Cache of Fire","True"
"79262","Beastmaster's Whistle: Felflame Talbuk","Felforged Heroes can purchase this item from High Inquisitor Qormaladon ","True"
"79263","Beastmaster's Whistle: Skreeg","Felforged Heroes can purchase this item from Azzazel for Legion Crests","True"
"333413","Beastmaster's Whistle: Fel-infused Mana Ray","Available from Tiraxis' Ethereal Bazaar","True"
"333414","Beastmaster's Whistle: Marshlands Mana Ray","Available from Tiraxis' Ethereal Bazaar","True"
"333415","Beastmaster's Whistle: Camouflaged Mana Ray","Available from Tiraxis' Ethereal Bazaar","True"
"333417","Beastmaster's Whistle: Arcane Mana Ray","Available from Tiraxis' Ethereal Bazaar","True"
"333418","Beastmaster's Whistle: Fel Corrupted Mana Ray","Available from Tiraxis' Ethereal Bazaar","True"
"333419","Beastmaster's Whistle: Zangar Mana Ray","Available from Tiraxis' Ethereal Bazaar","True"
"333420","Beastmaster's Whistle: Ivory Mana Ray","Available from Tiraxis' Ethereal Bazaar","True"
"86475","Blood Soaked Vellum: Soulless Ghoul","Obtained from the Argent Quartermaster","True"
"97743","Elemental Lodestone: Afflicted Treemouth","Available from Tiraxis' Ethereal Bazaar","True"
"601745","Elemental Lodestone: Dune Guardian","Available from the Webstore","True"
"601836","Elemental Lodestone: Treant","Has a chance to drop from Treant within Kalimdor/Eastern Kingdom","False"
"601843","Elemental Lodestone: Treant Ally","Has a chance to drop from Treant within Kalimdor/Eastern Kingdom","False"
"509906","Beastmaster's Whistle: Tamable Thunder Lizard","Reward from Hardcore/Nightmare Plains Stalker Trial","True"
"1777378","Elemental Lodestone: Living Cyclone","Available on the webstore from the Unleashed Elemental Master Warchest: Cache of Lightning","True"
"1777380","Elemental Lodestone: Iceshard Elemental","Available on the webstore from the Unleashed Elemental Master Warchest: Cache of Ice","True"
"1777420","Elemental Lodestone: Desert Rumbler","Available on the webstore from the Unleashed Elemental Master Warchest: Cache of Earth","True"
"195593","Beastmaster's Whistle: Fel Beast","Available from Tiraxis' Ethereal Bazaar","True"
"257058","Elemental Lodestone: Felflame Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"257060","Elemental Lodestone: Goldenflare Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"257062","Elemental Lodestone: Primal Earth Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"257064","Elemental Lodestone: Primordial Earth Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"257065","Elemental Lodestone: Eternal Earth Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"257066","Elemental Lodestone: Sacred Earth Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"257069","Elemental Lodestone: Frostborne Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"257070","Elemental Lodestone: Frostbitten Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"257074","Elemental Lodestone: Oceancrest Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"257076","Elemental Lodestone: Magmasurge Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"257078","Elemental Lodestone: Sulphurcrest Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"257080","Elemental Lodestone: Mudcrest Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"257085","Elemental Lodestone: Plumtide Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"257086","Elemental Lodestone: Scarletwave Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"89637","Blood Soaked Vellum: Meathook","Can be purchased from the Argent Quartermaster","True"
"257089","Elemental Lodestone: Ashenbreeze Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"257090","Elemental Lodestone: Amberwind Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"234628","Beastmaster's Whistle: Arcane Bound Core Hound","Available from Tiraxis' Ethereal Bazaar","True"
"400070","Blood Soaked Vellum: Skeletal Sharpshooter","Can be purchased from the Argent Quartermaster","True"
"400076","Blood Soaked Vellum: Shambling Horror","Can be purchased from the Argent Quartermaster","True"
"400077","Blood Soaked Vellum: Plagued Zombie","Can be purchased from the Argent Quartermaster","True"
"400079","Summoner's Stone: Infernal","Can be purchased from the Argent Quartermaster","True"
"400080","Summoner's Stone: Infernal Warden","Can be purchased from the Argent Quartermaster","True"
"87879","Blood Soaked Vellum: Scourge Champion","Can be purchased from the Argent Quartermaster","True"
"101076","Blood Soaked Vellum: Monstrous Wight","Can be purchased from the Argent Quartermaster","True"
"392169","Summoner's Stone: Shadow of Xavius","Available from the Webstore","True"
"199580","Beastmaster's Whistle: Savage Armored Growler","Available from Tiraxis' Ethereal Bazaar","True"
"199579","Beastmaster's Whistle: Feral Armored Growler","Available from Tiraxis' Ethereal Bazaar","True"
"194340","Beastmaster's Whistle: Sandy Wilderling","Available from Tiraxis' Ethereal Bazaar","True"
"400072","Blood Soaked Vellum: Dreadshriek Banshee","Can be purchased from the Argent Quartermaster","True"
"257067","Elemental Lodestone: Sovereign Earth Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"257071","Elemental Lodestone: Icebound Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"257073","Elemental Lodestone: Chillclad Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"257091","Elemental Lodestone: Dunesweeper Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"101107","Blood Soaked Vellum: Decaying Wight","Can be purchased from the Argent Quartermaster","True"
"400078","Summoner's Stone: Doom Warden","Can be purchased from the Argent Quartermaster","True"
"89854","Blood Soaked Vellum: Mindless Wight","Can be purchased from the Argent Quartermaster","True"
"194344","Beastmaster's Whistle: Sunny Wilderling","Available from Tiraxis' Ethereal Bazaar","True"
"194342","Beastmaster's Whistle: Loyal Wilderling","Available from the Webstore","True"
"1777379","Elemental Lodestone: Mana Beast","Available on the webstore from the Unleashed Elemental Master Warchest: Cache of Arcane","True"
"101141","Blood Soaked Vellum: Stitched Brute","Can be purchased from the Argent Quartermaster","True"
"79258","Beastmaster's Whistle: White Felbat","Felforged Heroes can purchase this item from High Inquisitor Qormaladon ","True"
"101154","Blood Soaked Vellum: Stonespine Gargoyle","Can be purchased from the Argent Quartermaster","True"
"281749","Summoner's Stone: Sneering Doomling","Available from Tiraxis' Ethereal Bazaar","True"
"281750","Summoner's Stone: Drifting Doomling","Available from Tiraxis' Ethereal Bazaar","True"
"281751","Summoner's Stone: Skittering Doomling","Available from Tiraxis' Ethereal Bazaar","True"
"281752","Summoner's Stone: Yapping Doomling","Available from Tiraxis' Ethereal Bazaar","True"
"281753","Summoner's Stone: Snuggling Doomling","Available from Tiraxis' Ethereal Bazaar","True"
"281754","Summoner's Stone: Whimming Doomling","Available from Tiraxis' Ethereal Bazaar","True"
"281755","Summoner's Stone: Gleaming Doomling","Available from Tiraxis' Ethereal Bazaar","True"
"281756","Summoner's Stone: Twitching Doomling","Available from Tiraxis' Ethereal Bazaar","True"
"400075","Blood Soaked Vellum: Hulking Corpse","Can be purchased from the Argent Quartermaster","True"
"101419","Beastmaster's Whistle: Spectral Wyvern","Available from the Webstore","True"
"257087","Elemental Lodestone: Cyancrest Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"101417","Beastmaster's Whistle: Spectral Spiked Crab","Available from the Webstore","True"
"1179012","Blood Soaked Vellum: Greater Banshee (Purple)","Available from Tiraxis' Ethereal Bazaar","True"
"257063","Elemental Lodestone: Ancient Earth Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"1519393","Beastmaster's Whistle: Arktos","Has a chance to drop from The Frozen Reach Manastorm ","False"
"844517","Beastmaster's Whistle: Crimson Shardhide","Available from Tiraxis' Ethereal Bazaar","True"
"980060","Beastmaster's Whistle: Pink Elekk","Can be purchased from Millhouse Manastorm","True"
"257084","Elemental Lodestone: Palewater Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"1179072","Blood Soaked Vellum: Aranakk (Black)","Available from Tiraxis' Ethereal Bazaar","True"
"1179049","Blood Soaked Vellum: Maldraxxus Skeleton (Pale/Blue (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"1179053","Blood Soaked Vellum: Maldraxxus Skeleton (Purple/Copper (Armored))","Available from Tiraxis' Ethereal Bazaar","True"
"601849","Elemental Lodestone: Treant Protector","Has a chance to drop from Treant Protector within Kalimdor/Eastern Kingdom","False"
"1179065","Blood Soaked Vellum: Maldraxxus Gladiator (Blue/Blue)","Available from Tiraxis' Ethereal Bazaar","True"
"601832","Elemental Lodestone: Treant","Has a chance to drop from Treant within Kalimdor/Eastern Kingdom","False"
"1179037","Blood Soaked Vellum: Maldraxxus Skeleton (Black/Blue (Armored))","Available from the Webstore","True"
"1179029","Blood Soaked Vellum: Maldraxxian Necromancer (Blue)","Available from Tiraxis' Ethereal Bazaar","True"
"121825","Beastmaster's Whistle: Aurora Fox","Available from Tiraxis' Ethereal Bazaar","True"
"1179028","Blood Soaked Vellum: Maldraxxian Necromancer (Black)","Available from Tiraxis' Ethereal Bazaar","True"
"257079","Elemental Lodestone: Shadowtide Guardian","Available from Tiraxis' Ethereal Bazaar","True"
"400074","Blood Soaked Vellum: Berserk Ghoul","Can be purchased from the Argent Quartermaster","True"
"400071","Blood Soaked Vellum: Necromantic Lich","Obtained from the Argent Quartermaster","True"
"79260","Beastmaster's Whistle: Armored Soulhound","Felforged Heroes can purchase this item from High Inquisitor Qormaladon ","True"
"79256","Beastmaster's Whistle: Felhound","Felforged Heroes can purchase this item from High Inquisitor Qormaladon ","True"
"89998","Blood Soaked Vellum: Carrion Eater","Can be purchased from the Argent Quartermaster","True"
"1554439","Blood Soaked Vellum: Undying Kvaldir Raider","Available from Tiraxis' Ethereal Bazaar","True"
"1554440","Blood Soaked Vellum: Undying Kvaldir Spearmaiden","Available from the Webstore","True"
"1554441","Blood Soaked Vellum: Undying Kvaldir Scavenger","Available from Tiraxis' Ethereal Bazaar","True"
"88978","Blood Soaked Vellum: Infectious Ghoul","Can be purchased from the Argent Quartermaster","True"
"101416","Beastmaster's Whistle: Purple Fire Spider","Available from the Webstore","True"
"194341","Beastmaster's Whistle: Playful Wilderling","Available from Tiraxis' Ethereal Bazaar","True"
"194345","Beastmaster's Whistle: Earthen Wilderling","Available from Tiraxis' Ethereal Bazaar","True"
"194346","Beastmaster's Whistle: Elusive Wilderling","Available from Tiraxis' Ethereal Bazaar","True"
"8200118","Beastmaster's Whistle: Arctic Bear","Available from the Webstore","True"
"442009","Elemental Lodestone: Wretched Treemouth","Available from Tiraxis' Ethereal Bazaar","True"
"442010","Elemental Lodestone: Pallid Treemouth","Available from Tiraxis' Ethereal Bazaar","True"
"442011","Elemental Lodestone: Sallow Treemouth","Available from the Webstore.","True"
"442012","Elemental Lodestone: Stricken Treemouth","Available from Tiraxis' Ethereal Bazaar","True"
"199581","Beastmaster's Whistle: Verdant Armored Growler","Available from Tiraxis' Ethereal Bazaar","True"
"199582","Beastmaster's Whistle: Rabid Armored Growler","Available from Tiraxis' Ethereal Bazaar","True"
