"ItemId","Name","CreatureId","Description","Issues"
"84297","Summoner's Stone: Illidari Agonizer","19801","Has a chance to drop from Scholomance Occultist within Scholomance","NPCNameMismatch"
"84298","Summoner's Stone: Nethervine Trickster","19843","Has a chance to drop from Scarlet Invoker within Felstone Field","NPCNameMismatch"
"84299","Summoner's Stone: Felblade Doomguard","19853","Has a chance to drop from Gnarlpine Pathfinder within Gnarlpine Hold","NPCNameMismatch"
"84300","Summoner's Stone: Doomforge Attendant","19961","Has a chance to drop from Boahn within Wailing Caverns","NPCNameMismatch"
"84304","Summoner's Stone: Dreadforge Servant","19971","Has a chance to drop from Cenarion Druid within The Talon Den","NPCNameMismatch"
"84305","Summoner's Stone: Abyssal Flamebringer","19973","Has a chance to drop from Vile Fin Shredder within The Shining Strand","NPCNameMismatch"
"84306","Summoner's Stone: Deathforge Over-Smith","19978","Has a chance to drop from Shadowhide Brute within Galardell Valley","NPCNameMismatch"
"84311","Summoner's Stone: Hound of Culuthas","20141","Has a chance to drop from Cenarion Protector within Raynewood Retreat","NPCNameMismatch"
"84314","Summoner's Stone: Mo'arg Warp-Master","20326","Has a chance to drop from Phantom Guest within Karazhan","NPCNameMismatch"
"84317","Summoner's Stone: Veneratus the Many","20427","Has a chance to drop from Wyrmkin Firebrand within Dragonmaw Gates","NPCNameMismatch"
"84318","Summoner's Stone: Wrath Hound","20557","Has a chance to drop from Skeletal Terror within Dalson's Tears","NPCNameMismatch"
"84319","Summoner's Stone: Arzeth the Powerless","20680","Has a chance to drop from Murkblood Oracle within The Underbog","NPCNameMismatch"
"84398","Summoner's Stone: Armbreaker Huffaz","20784","Has a chance to drop from Sunblade Warlock within Magisters' Terrace","NPCNameMismatch"
"84496","Summoner's Stone: Wrathbringer Laz-tarash","20789","Has a chance to spawn from Etherium Prison Key or Stasis Chamber opening within Netherstorm","NPCNameMismatch"
"85246","Summoner's Stone: Matron Li-sahar","22825","Has a chance to spawn from Etherium Prison Key or Stasis Chamber opening within Blade's Edge Mountains","NPCNameMismatch"
"85247","Summoner's Stone: Gorgolon the All-seeing","22827","Has a chance to spawn from Etherium Prison Key or Stasis Chamber opening within Blade's Edge Mountains","NPCNameMismatch"
"85257","Summoner's Stone: Trelopades","22828","Has a chance to spawn from Etherium Prison Key or Stasis Chamber opening within Blade's Edge Mountains","NPCNameMismatch"
"85704","Summoner's Stone: Abyssal Flamewalker","25001","Has a chance to drop from Irespeaker within The Dawning Square","NPCNameMismatch"
"85705","Summoner's Stone: Unleashed Hellion","25002","Has a chance to drop from Irespeaker within The Dawning Square","NPCNameMismatch"
"87736","Blood Soaked Vellum: Zul'Farrak Dead Hero(Male)","91356","Has a chance to drop from Zul'Farrak Dead Hero within Zul'Gurub","NPCNameMismatch"
"89198","Blood Soaked Vellum: Gargoyle","17906","Has a chance to drop from Flameshocker within Eastern Kingdoms","NPCNameMismatch"
"89211","Blood Soaked Vellum: Risen Spirit","300078","Has a chance to drop from Risen Spirit within Witch Hill","HighCreatureId(300078)"
"89217","Blood Soaked Vellum: Putrid Wight","300158","Has a chance to drop from Putrid Wight within Gjalerbron","HighCreatureId(300158)"
"89801","Blood Soaked Vellum: Zul'Farrak Dead Hero(Female)","91357","Has a chance to drop from Zul'Farrak Dead Hero within Zul'Gurub","NPCNameMismatch"
"101165","Blood Soaked Vellum: Reanimated Bones","61700","Has a chance to drop from Ngajh'dro within Outland","NPCNameMismatch"
"138255","Summoner's Stone: Prince Malchezaar","15690","Has a chance to drop from Prince Malchezaa within Karazhan","NPCNameMismatch"
"139053","Summoner's Stone: Solus the Eternal","20888","Has a chance to drop from Solus the Eterna within Karazhan","NPCNameMismatch"
"139581","Summoner's Stone: Apolyon (Hand of the Deceiver)","449185","Has a chance to drop from Kil'jaeden within Sunwell Plateau.","HighCreatureId(449185), NPCNameMismatch"
"139796","Summoner's Stone: Agamath (Hand of the Deceiver)","449186","Has a chance to drop from Kil'jaeden within Sunwell Plateau.","HighCreatureId(449186), NPCNameMismatch"
"139797","Summoner's Stone: Archonisus (Hand of the Deceiver)","449187","Has a chance to drop from Kil'jaeden within Sunwell Plateau.","HighCreatureId(449187), NPCNameMismatch"
"347302","Beastmaster's Whistle: Alvajar War Wolf","347302","Has a chance to drop from Alvajar War Wolf within Frozen Reach","HighCreatureId(347302)"
"347303","Blood Soaked Vellum: Risen Alvajar","347303","Has a chance to drop from Risen Alvajar within Frozen Reach","HighCreatureId(347303)"
"480382","Beastmaster's Whistle: Captain Claws","417217","","HighCreatureId(417217), EmptyDescription"
"600865","Elemental Lodestone: Syth Frost Elemental","19204","Has a chance to drop from Darkweaver Syth within Sethekk Halls","NPCNameMismatch"
"600866","Elemental Lodestone: Syth Shadow Elemental","19206","Has a chance to drop from Darkweaver Syth within Sethekk Halls","NPCNameMismatch"
"600867","Elemental Lodestone: Al'ar","19514","Raid boss within Tempest Keep: The Eye","NPCNameMismatch"
"600878","Elemental Lodestone: Hydross the Unstable","21216","Raid boss within Serpentshrine Cavern","NPCNameMismatch"
"601009","Elemental Lodestone: Surging Water Elemental","37703","NPC exists. Level 10 - found in one of the starting zones (possibly Shaman related NPC).","NPCNameMismatch"
"601102","Elemental Lodestone: Plague Shambler","97808","Ascension custom NPC. Found in undead zones (possibly Western Plaguelands or Eastern Plaguelands)","NPCNameMismatch"
"601201","Elemental Lodestone: Whip Lasher(Purple)","40553","Has a chance to drop from Whip Lasher within Dire Maul","NPCNameMismatch"
"601664","Elemental Lodestone: Bloodpetal Thirster","97825","Ascension custom NPC. Found within Un'Goro Crater","NPCNameMismatch"
"601677","Elemental Lodestone: Stone Warden","6561","NPC exists. Level 60-61 found in Classic final zones, dungeons, or raids (possibly Blackrock Depths).","NPCNameMismatch"
"601687","Elemental Lodestone: Ironhand Guardian","8982","Has a chance to drop from Magmus within Blackrock Depths","NPCNameMismatch"
"601843","Elemental Lodestone: Treant Ally","5806","Has a chance to drop from Treant within Kalimdor/Eastern Kingdom","NPCNameMismatch"
"601864","Elemental Lodestone: Whip Lasher (Fuchsia)","91355","Has a chance to drop from Whip Lasher within Dire Maul","NPCNameMismatch"
"603976","Elemental Lodestone: Silver Golem","76","Ascension custom NPC named 'Spellwave Elemental'. Loot suggests Drakkari Ice Trolls (possibly Drak'Tharon Keep).","NPCNameMismatch"
"612859","Summoner's Stone: Brutallus","449183","Has a chance to drop from Brutallus within Sunwell Plateau.","HighCreatureId(449183)"
"612860","Summoner's Stone: Sacro'lythess","449184","Has a chance to drop from Sacro'lythess within Sunwell Plateau.","HighCreatureId(449184)"
"1180233","Draconic Warhorn: Deviate Faerie Dragon","5912","Has a chance to drop from Brightwing within Wailing Caverns","NPCNameMismatch"
"1180288","Draconic Warhorn: Sleeping Dragon","9417","NPC exists. Level 60 found in Classic final zones, dungeons, or raids associated with Dragons (possibly Blackrock Mountain).","NPCNameMismatch"
"1180308","Draconic Warhorn: Gyth","10339","Has a chance to drop from Warchief Rend Blackhand within Blackrock Spire","NPCNameMismatch"
"1180316","Draconic Warhorn: Chromatic Whelp","10442","Has a chance to drop from Warchief Rend Blackhand within Blackrock Spire","NPCNameMismatch"
"1180317","Draconic Warhorn: Chromatic Whelp","148069","Ascension custom NPC. Level 57-58 found in Classic final zones, dungeons, or raids with Chromatic dragons (likely Blackrock Mountain).","NPCNameMismatch"
"1180319","Draconic Warhorn: Chromatic Dragonspawn","10447","Has a chance to drop from Warchief Rend Blackhand within Blackrock Spire","NPCNameMismatch"
"1180320","Draconic Warhorn: Chromatic Dragonspawn","148070","Ascension custom NPC. Level 57-58 found in Classic final zones, dungeons, or raids with Chromatic dragons (likely Blackrock Mountain).","NPCNameMismatch"
"1180443","Draconic Warhorn: Chrono Lord Deja","300080","Has a chance to drop from Chrono Lord Deja within The Black Morass","HighCreatureId(300080)"
"1180444","Draconic Warhorn: Temporus","300074","Has a chance to drop from Temporus within The Black Morass","HighCreatureId(300074)"
"1180445","Draconic Warhorn: Aeonus","300082","Has a chance to drop from Aeonus within The Black Morass","HighCreatureId(300082)"
"1180449","Draconic Warhorn: Epoch Hunter","300077","Has a chance to drop from Epoch Hunter within Caverns of Time","HighCreatureId(300077)"
"1180470","Draconic Warhorn: Nether Whelp","300084","Has a chance to drop from Nether Whelp within Outland","HighCreatureId(300084)"
"1180511","Draconic Warhorn: Blackscale","148115","Ascension custom NPC. Copy of https://db.ascension.gg/?npc=21497 - Level 70 found in Blade's Edge Mountains.","NPCNameMismatch"
"1180521","Draconic Warhorn: Enslaved Netherwing Drake","300079","Has a chance to drop from Enslaved Netherwing Drake within Dragonmaw Fortress","HighCreatureId(300079)"
"1181572","Draconic Warhorn: Green Whelp","1100365","Has a chance to drop from Profession Master within ","HighCreatureId(1100365), IncompleteDescription, NPCNameMismatch"
"1181573","Draconic Warhorn: Bronze Whelp","1100323","Has a chance to drop from Bronze Whelp within Caverns of Time","HighCreatureId(1100323)"
"1181574","Draconic Warhorn: Bronze Whelp","1100366","Has a chance to drop from Profession Master within ","HighCreatureId(1100366), IncompleteDescription, NPCNameMismatch"
"1234940","Beastmaster's Whistle: Thokian Devilsaur","347301","Has a chance to drop from Thokian Devilsaur within The Dead Mire","HighCreatureId(347301)"
"1519393","Beastmaster's Whistle: Arktos","440555","Has a chance to drop from The Frozen Reach Manastorm ","HighCreatureId(440555), NPCNameMismatch"
"1777426","Elemental Lodestone: Syth Fire Elemental","19203","Has a chance to drop from Darkweaver Syth within Sethekk Halls","NPCNameMismatch"
"1777428","Elemental Lodestone: Syth Arcane Elemental","19205","Has a chance to drop from Darkweaver Syth within Sethekk Halls","NPCNameMismatch"
